,State,Value
0,Andhra Pradesh,7.261967601151143
1,Arunachal Pradesh ,2.8942143978572066
2,Assam,-0.5538458081164525
3,Bihar,-68.19786695520689
4,Chhattisgarh,-3.434339763639532
5,Goa,52.55813490934824
6,Gujarat,102.71097518668263
7,Haryana,32.85115895984817
8,Himachal Pradesh,3.5940294470819536
9,Jammu and Kashmir,0.0
10,Jharkhand,47.204409286259896
11,Karnataka,39.682298896643275
12,Kerala,-3.4395131076855807
13,Madhya Pradesh,17.554631316845793
14,Maharashtra,25.065966199079128
15,Manipur,26.7095336020243
16,Meghalaya,18.065390899895448
17,Mizoram,0.0
18,Nagaland,21.325891387604045
19,Odisha,13.293727311297724
20,Punjab,-70.17241978159981
21,Rajasthan,5.842327926255914
22,Sikkim,2.8221166386206984
23,Tamil Nadu,22.226571658094002
24,Telangana,89.27918640092325
25,Tripura,49.517598174318856
26,Uttar Pradesh,-45.703334868949476
27,Uttarakhand,32.69633414350008
28,West Bengal,14.39324232166192
29,Andaman and Nicobar Islands,16.412978956495188
30,Chandigarh,29.09782009422114
31,Dadra and Nagar Haveli,56.873158451767374
32,Daman and Diu,52.184075463482905
33,Lakshadweep,0.0
34,National Capital Territory of Delhi,-104.59762893956888
35,Puducherry,69.31704569315643
